Month,usg_apt,fg_apt,carrier,type,Scheduled
2,EWR,GRU,UA,Passengers,13809
2,FLL,MBJ,WN,Passengers,13789
2,MIA,CUR,AA,Passengers,13781
2,MIA,ISL,TK,Passengers,13778
2,IAD,ISL,TK,Passengers,13767
2,MIA,PTY,AA,Passengers,13758
2,SFO,AKL,NZ,Passengers,13714
2,EWR,NAS,UA,Passengers,13676
2,DFW,DOH,QR,Passengers,13673
2,DTW,ICN,DL,Passengers,13659
2,HNL,NRT,UA,Passengers,13602
2,HOU,CUN,WN,Passengers,13601
2,IAH,PVR,UA,Passengers,13601
2,EWR,NRT,UA,Passengers,13573
2,DFW,ICN,AA,Passengers,13565
2,DEN,LHR,BA,Passengers,13526
2,JFK,TLV,DL,Passengers,13523
2,LAX,SYD,AA,Passengers,13506
2,BOS,DOH,QR,Passengers,13502
2,LAS,YUL,RV,Passengers,13495
2,JFK,NAS,B6,Passengers,13480
2,MSP,PUJ,DL,Passengers,13474
2,SFO,MEX,UA,Passengers,13448
2,PHL,MBJ,AA,Passengers,13430
2,IAD,FRA,LH,Passengers,13412
2,JFK,NAS,DL,Passengers,13409
2,HOU,MEX,WN,Passengers,13383
2,CLT,YYZ,OH,Passengers,13365
2,MIA,LIS,TP,Passengers,13288
2,MCO,VCP,AD,Passengers,13242
2,MIA,FRA,LH,Passengers,13220
2,ORD,MEX,AM,Passengers,13207
2,DFW,GRU,AA,Passengers,13186
2,SEA,YVR,QX,Passengers,13185
2,MIA,CDG,AA,Passengers,13147
2,ORD,DXB,EK,Passengers,13128
2,DFW,YYZ,AA,Passengers,13097
2,SFO,SYD,QF,Passengers,13053
2,ORD,PVR,AA,Passengers,13022
2,SPN,ICN,OZ,Passengers,13014
2,JFK,GRU,AA,Passengers,12992
2,LAX,HKG,AA,Passengers,12917
2,LAX,SJD,DL,Passengers,12904
2,DTW,NRT,DL,Passengers,12874
2,BOS,FRA,LH,Passengers,12862
2,PHX,YEG,WS,Passengers,12841
2,DTW,PVG,DL,Passengers,12820
2,FLL,NAS,WN,Passengers,12782
2,MIA,BCN,AA,Passengers,12762
2,SFO,SAL,TA,Passengers,12758
2,IAH,BOG,UA,Passengers,12720
2,MIA,MAD,AA,Passengers,12704
2,MIA,DOH,QR,Passengers,12698
2,DFW,EZE,AA,Passengers,12688
2,MIA,MDE,AA,Passengers,12681
2,DFW,PVG,AA,Passengers,12586
2,IAH,YYZ,UA,Passengers,12578
2,EWR,MBJ,UA,Passengers,12573
2,ATL,GRU,DL,Passengers,12497
2,LAS,YVR,RV,Passengers,12483
2,RSW,YYZ,WS,Passengers,12451
2,ONT,TPE,CI,Passengers,12361
2,EWR,DEL,UA,Passengers,12358
2,MSP,PUJ,SY,Passengers,12324
2,DFW,HKG,AA,Passengers,12304
2,IAH,LHR,BA,Passengers,12256
2,FLL,MEX,B6,Passengers,12239
2,JFK,MBJ,B6,Passengers,12208
2,MIA,LIM,TQQ,Passengers,12203
2,HNL,HND,NH,Passengers,12191
2,LAS,LGW,VS,Passengers,12179
2,JFK,FRA,SQ,Passengers,12175
2,LAX,CDG,DY,Passengers,12173
2,JFK,EZE,AA,Passengers,12170
2,EWR,PVG,UA,Passengers,12165
2,IAD,PUJ,UA,Passengers,12144
2,IAD,ICN,KE,Passengers,12141
2,ORD,PTY,CM,Passengers,12140
2,JFK,GRU,DL,Passengers,12135
2,MIA,FCO,AZ,Passengers,12124
2,ATL,YYZ,KV,Passengers,12109
2,ATL,EZE,DL,Passengers,12106
2,DEN,YYZ,UA,Passengers,12105
2,MSP,YVR,DL,Passengers,12063
2,EWR,FCO,DY,Passengers,12061
2,LAX,NRT,UA,Passengers,12030
2,DTW,CDG,DL,Passengers,12016
2,ORD,FRA,UA,Passengers,12003
2,BOS,YYZ,KV,Passengers,11954
2,ATL,JNB,DL,Passengers,11947
2,ORD,PEK,UA,Passengers,11930
2,CLT,PLS,AA,Passengers,11928
2,EWR,DXB,EK,Passengers,11928
2,ORD,GRU,UA,Passengers,11918
2,DFW,MTY,MQ,Passengers,11916
2,EWR,PEK,UA,Passengers,11905
2,EWR,BRU,UA,Passengers,11905
2,SFO,SYD,UA,Passengers,11870
2,SFO,TLV,UA,Passengers,11846
2,JFK,AMS,DY,Passengers,11843
2,HNL,NRT,NQ,Passengers,11835
2,BOS,AMS,DL,Passengers,11828
2,HNL,NRT,DL,Passengers,11807
2,LAX,YYC,AC,Passengers,11792
2,LAX,BOG,AV,Passengers,11770
2,LAX,MEX,4O,Passengers,11753
2,PHL,DOH,QR,Passengers,11728
2,ATL,PVG,DL,Passengers,10653
2,JFK,HEL,AY,Passengers,10653
2,ORD,SJD,AA,Passengers,10652
2,IAH,BJX,YV,Passengers,10624
2,FLL,HAV,B6,Passengers,10619
2,MIA,MAD,UX,Passengers,10607
2,JFK,KWI,KU,Passengers,10601
2,HNL,PVG,MU,Passengers,10582
2,SEA,FRA,LH,Passengers,10573
2,IAH,GRU,UA,Passengers,10567
2,PDX,YVR,QK,Passengers,10548
2,MSP,CDG,DL,Passengers,10538
2,SFO,DUB,EI,Passengers,10509
2,ATL,AUA,DL,Passengers,10500
2,MIA,SKB,AA,Passengers,10499
2,FLL,CUN,NK,Passengers,10465
2,SFO,HND,JL,Passengers,10459
2,MIA,GRU,O6,Passengers,10433
2,MCO,GRU,DL,Passengers,10401
2,JFK,ORY,AF,Passengers,10400
2,HNL,ICN,HA,Passengers,10368
2,MCO,SJO,B6,Passengers,10365
2,MIA,MVD,AA,Passengers,10352
2,EWR,AMS,UA,Passengers,10349
2,MIA,HAV,DL,Passengers,10344
2,ORD,PVG,UA,Passengers,10336
2,ATL,SCL,DL,Passengers,10296
2,LAX,PVG,DL,Passengers,10248
2,IAH,YYC,WS,Passengers,10234
2,ORD,CUN,F9,Passengers,9986
2,LAX,GDL,4O,Passengers,10144
2,PHL,LHR,BA,Passengers,10129
2,IAH,GIG,UA,Passengers,10111
2,JFK,KEF,FI,Passengers,10078
2,EWR,DUB,UA,Passengers,10064
2,JFK,MAN,VS,Passengers,10044
2,LAX,SJO,DL,Passengers,10041
2,IAD,CUN,UA,Passengers,10036
2,LAX,GUA,DL,Passengers,10016
2,DFW,PEK,AA,Passengers,9992
2,HNL,MNL,PR,Passengers,9983
2,IAD,AUH,EY,Passengers,9980
2,DCA,YYZ,KV,Passengers,9976
2,HNL,SYD,HA,Passengers,9966
2,ORD,PVG,MU,Passengers,9930
2,IAH,GDL,UA,Passengers,9926
2,DFW,GDL,AA,Passengers,9901
2,JFK,MEX,DL,Passengers,9878
2,SEA,ICN,OZ,Passengers,9852
2,MCO,LGW,DI,Passengers,9846
2,ORD,PVR,UA,Passengers,9779
2,JFK,JNB,SA,Passengers,9766
2,ORD,NRT,NH,Passengers,9757
2,SEA,ICN,DL,Passengers,9756
2,EWR,YUL,KV,Passengers,9756
2,SAN,NRT,JL,Passengers,9734
2,ATL,GIG,DL,Passengers,9733
2,JFK,BCN,AA,Passengers,9715
2,EWR,FRA,UA,Passengers,9709
2,MCO,MEX,B6,Passengers,9708
2,JFK,HND,JL,Passengers,9701
2,AUS,LHR,BA,Passengers,9689
2,FLL,CUN,WN,Passengers,9678
2,BOS,PTY,CM,Passengers,9673
2,LAX,SYD,UA,Passengers,9668
2,DFW,NRT,JL,Passengers,9634
2,IAH,LIM,UA,Passengers,9632
2,IAD,MUC,UA,Passengers,9618
2,SEA,PVR,AS,Passengers,9614
2,IAH,AMS,KL,Passengers,9614
2,DEN,NRT,UA,Passengers,9609
2,IAH,AMS,UA,Passengers,9594
2,JFK,GIG,AA,Passengers,9582
2,IAH,PEK,CA,Passengers,9568
2,CLT,FRA,AA,Passengers,9557
2,JFK,CDG,AA,Passengers,9546
2,SAN,YYZ,RV,Passengers,9526
2,DTW,CUN,NK,Passengers,9523
2,SFO,CAN,CZ,Passengers,9521
2,ORD,MAD,IB,Passengers,9511
2,SEA,YLW,QX,Passengers,9510
2,FLL,SJO,B6,Passengers,6982
2,DEN,PVR,WN,Passengers,6981
2,LAX,VIE,OS,Passengers,6958
2,JFK,SXM,B6,Passengers,6940
2,JFK,MAD,DY,Passengers,6927
2,DFW,YYC,MQ,Passengers,6904
2,FLL,PUJ,WN,Passengers,6902
2,LAX,ARN,SK,Passengers,6897
2,HOU,SJD,WN,Passengers,6895
2,BOS,PEK,HU,Passengers,6878
2,SEA,CDG,DL,Passengers,6877
2,JFK,PLS,DL,Passengers,6874
2,MCO,BOG,AV,Passengers,6871
2,MCO,BSB,G3,Passengers,6866
2,ATL,SAP,DL,Passengers,6855
2,KOA,NRT,JL,Passengers,6851
2,MSP,YYZ,KV,Passengers,6848
2,MIA,PLS,AA,Passengers,6834
2,FLL,LIM,B6,Passengers,6831
2,LAX,MZT,AS,Passengers,6827
2,LAX,PVR,AS,Passengers,6823
2,ATL,DUS,DL,Passengers,6803
2,FLL,GUA,NK,Passengers,6801
2,HNL,CTS,HA,Passengers,6800
2,ORD,CUN,NK,Passengers,6798
2,ORD,CDG,UA,Passengers,6797
2,MDW,MBJ,WN,Passengers,6788
2,BNA,YYZ,ZX,Passengers,6778
2,SJC,NRT,NH,Passengers,6778
2,EWR,LIS,UA,Passengers,6772
2,PHX,YYC,AC,Passengers,6770
2,LAS,YYC,RV,Passengers,6764
2,SLC,SJD,DL,Passengers,6764
2,FAT,GDL,AM,Passengers,6763
2,SFO,KIX,UA,Passengers,6759
2,IAH,RTB,UA,Passengers,6757
2,FLL,UIO,B6,Passengers,6735
2,JFK,MUC,LH,Passengers,6732
2,MIA,HOG,AA,Passengers,6725
2,MIA,CLO,AA,Passengers,6719
2,JFK,POS,B6,Passengers,6718
2,FLL,YUL,TS,Passengers,6711
2,ORD,YVR,UA,Passengers,6701
2,MIA,PLS,YX,Passengers,6699
2,ATL,FRA,LH,Passengers,6697
2,FLL,BOG,AV,Passengers,6697
2,FLL,YYZ,TS,Passengers,6696
2,PHL,FRA,LH,Passengers,6695
2,SJC,SJD,AS,Passengers,6684
2,SFO,GDL,AM,Passengers,6673
2,SPN,PEK,MU,Passengers,6670
2,JFK,MXP,AZ,Passengers,6667
2,ATL,ISL,TK,Passengers,6664
2,CLT,SJO,AA,Passengers,6652
2,EWR,SDQ,B6,Passengers,6649
2,ATL,KIN,DL,Passengers,6643
2,IAD,KEF,FI,Passengers,6621
2,SFO,YYC,QK,Passengers,6620
2,MIA,MXP,IG,Passengers,6612
2,IAD,PEK,CA,Passengers,6612
2,MIA,BSB,G3,Passengers,6611
2,SFO,WUH,CZ,Passengers,6585
2,JFK,FCO,DL,Passengers,6584
2,IAD,HKG,CX,Passengers,6570
2,SLC,MEX,DL,Passengers,6556
2,LAX,SJD,AA,Passengers,6529
2,MIA,CTG,AA,Passengers,6526
2,MIA,FOR,G3,Passengers,6523
2,SEA,MEX,AM,Passengers,6519
2,MIA,LIR,AA,Passengers,6512
2,BOS,PVG,HU,Passengers,6508
2,MSP,YWG,OO,Passengers,6504
2,ORD,MEX,Y4,Passengers,6496
2,IAH,POS,UA,Passengers,6476
2,ORD,MBJ,AA,Passengers,6474
2,LAS,GDL,Y4,Passengers,6469
2,HOU,PVR,WN,Passengers,6466
2,ATL,CUN,WN,Passengers,6463
2,JFK,SAL,LR,Passengers,6452
2,EWR,SIN,SQ,Passengers,6450
2,SEA,YYZ,AC,Passengers,6445
2,JFK,GVA,LX,Passengers,6442
2,SAN,SJD,WN,Passengers,6414
2,FLL,PTY,NK,Passengers,6414
2,BOS,YYZ,WS,Passengers,6388
2,HNL,SYD,JQ,Passengers,6384
2,SEA,YVR,AS,Passengers,6383
2,MCO,BOG,B6,Passengers,6376
2,PHL,YOW,PT,Passengers,6360
2,MDW,YTZ,PD,Passengers,6349
2,LAX,LTO,AS,Passengers,6349
2,FLL,OSL,DY,Passengers,6329
2,JFK,KIN,DL,Passengers,6320
2,IAD,BOG,AV,Passengers,6307
2,HOU,BZE,WN,Passengers,6304
2,ORD,CPH,SK,Passengers,6299
2,RDU,CDG,DL,Passengers,6286
2,STL,CUN,WN,Passengers,6270
2,LAX,SHE,CZ,Passengers,6261
2,ATL,MAN,VS,Passengers,6257
2,LAX,AMS,DL,Passengers,6254
2,LAX,BCN,DY,Passengers,6248
2,MCO,FOR,G3,Passengers,6247
2,MCO,AMS,DL,Passengers,6246
2,MSP,YYC,DL,Passengers,6182
2,DFW,MEX,5D,Passengers,6233
2,MIA,CTG,AV,Passengers,6225
2,MIA,BDA,AA,Passengers,6219
2,IAD,RUH,SV,Passengers,3491
2,RNO,GDL,Y4,Passengers,3485
2,AUS,CUN,WN,Passengers,3472
2,MIA,CAP,AA,Passengers,3454
2,MIA,MHH,YX,Passengers,3438
2,ATL,GDL,5D,Passengers,3428
2,IAD,JED,SV,Passengers,3425
2,EWR,YHZ,EV,Passengers,3424
2,DTW,MTY,DL,Passengers,3424
2,SNA,SJD,AS,Passengers,3414
2,DTW,PVR,DL,Passengers,3414
2,DEN,MEX,Y4,Passengers,3411
2,JFK,MTY,5D,Passengers,3407
2,PHL,MUC,AA,Passengers,3402
2,MIA,ELH,MQ,Passengers,3400
2,EWR,ORY,B0,Passengers,3399
2,LAX,SJO,AS,Passengers,3379
2,LAS,YEG,07Q,Passengers,3375
2,BOS,SAL,TA,Passengers,3363
2,LAX,CDG,TN,Passengers,3358
2,LAX,SZX,CA,Passengers,3349
2,ATL,HAV,9E,Passengers,3342
2,LAX,ZCL,Y4,Passengers,3340
2,PHL,YUL,YX,Passengers,3331
2,PHL,YUL,QK,Passengers,3330
2,ATL,QRO,5D,Passengers,3326
2,IAH,YYZ,YV,Passengers,3318
2,IAH,MGA,UA,Passengers,3311
2,AZA,YEG,07Q,Passengers,3308
2,JFK,CTU,HU,Passengers,3299
2,JFK,BOM,AI,Passengers,3297
2,MIA,YYZ,WG,Passengers,3293
2,IAD,DUB,UA,Passengers,3290
2,SMF,YVR,QK,Passengers,3281
2,LAX,MTY,5D,Passengers,3281
2,JFK,CKG,HU,Passengers,3278
2,FLL,SAL,NK,Passengers,3275
2,IAD,YUL,YV,Passengers,3273
2,DFW,YYZ,MQ,Passengers,3270
2,ATL,BJX,5D,Passengers,3258
2,MIA,REC,JJ,Passengers,3246
2,PHX,GDL,YV,Passengers,3238
2,ATL,MHH,9E,Passengers,3232
2,IAH,MTY,4O,Passengers,3224
2,FLL,KIN,BW,Passengers,3224
2,MCO,MEX,Y4,Passengers,3224
2,ORD,NRT,AA,Passengers,3218
2,SEA,PVR,DL,Passengers,3217
2,DEN,YUL,QK,Passengers,3202
2,ORD,CDG,AF,Passengers,3193
2,MSP,YYC,OO,Passengers,3192
2,ATL,CTG,DL,Passengers,3182
2,SFO,YVR,QK,Passengers,3180
2,EWR,ANU,UA,Passengers,3172
2,LAX,MAD,DY,Passengers,3168
2,EWR,OPO,TP,Passengers,3168
2,MIA,LIR,YX,Passengers,3165
2,FLL,GCM,B6,Passengers,3164
2,DFW,YUL,MQ,Passengers,3158
2,LAX,BJX,Y4,Passengers,3153
2,EWR,WAW,LO,Passengers,3132
2,EWR,YQB,EV,Passengers,3127
2,IAD,SAL,Q6,Passengers,3126
2,FLL,PTP,D8,Passengers,3123
2,SEA,SZX,MF,Passengers,3115
2,IND,YYZ,ZX,Passengers,3111
2,LAX,OSL,DY,Passengers,3106
2,LIH,YVR,AC,Passengers,3088
2,IAH,SAP,NK,Passengers,3085
2,MCO,PTY,NK,Passengers,3083
2,BOS,CDG,DY,Passengers,3067
2,MIA,OSL,SK,Passengers,3060
2,BNA,YYZ,WS,Passengers,3052
2,ATL,BON,DL,Passengers,3047
2,EWR,YHZ,YX,Passengers,3044
2,IAH,HAV,YV,Passengers,3034
2,JFK,CUR,B6,Passengers,3024
2,MIA,CZM,YX,Passengers,3012
2,SEA,YEG,OO,Passengers,3011
2,PHX,HMO,OO,Passengers,3011
2,DFW,YVR,QK,Passengers,3004
2,MCO,SAL,TA,Passengers,3002
2,LAX,CTU,HU,Passengers,2997
2,IND,CDG,DL,Passengers,2985
2,PHL,ZRH,AA,Passengers,2975
2,DTW,GRU,DL,Passengers,2970
2,IAD,DSS,SA,Passengers,2963
2,ORD,YOW,EV,Passengers,2942
2,RSW,DUS,EW,Passengers,2942
2,CLT,YYZ,ZX,Passengers,2934
2,DFW,MLM,YV,Passengers,2929
2,ATL,GGT,9E,Passengers,2897
2,DTW,MTY,5D,Passengers,2889
2,BOS,YHZ,QK,Passengers,2879
2,SFO,YEG,QK,Passengers,2877
2,TPA,YHZ,AC,Passengers,2854
2,FLL,KIN,NK,Passengers,2852
2,PSP,YWG,WS,Passengers,2851
2,HNL,MAJ,UA,Passengers,2840
2,SFO,CUN,4O,Passengers,2828
2,LAX,JED,SV,Passengers,2825
2,SAN,PVR,AS,Passengers,2823
2,JFK,ANU,B6,Passengers,2821
2,IAD,CMN,AT,Passengers,2809
2,LAX,CKG,HU,Passengers,2804
2,MCO,FOR,JJ,Passengers,2802
2,SNA,PVR,AS,Passengers,2802
2,GUM,MNL,5J,Passengers,2794
2,MSP,YEG,OO,Passengers,2774
2,LAX,CSX,HU,Passengers,2752
2,MIA,GUA,TA,Passengers,2748
2,EWR,YOW,EV,Passengers,2730
2,LAX,SAL,Q6,Passengers,2720
2,SAT,MTY,4O,Passengers,2716
2,JFK,TAS,HY,Passengers,2715
2,MDW,ZCL,Y4,Passengers,2709
2,FLL,SXM,B6,Passengers,2703
2,MIA,CCS,WL,Passengers,0
2,DFW,YUL,KV,Passengers,2690
2,IND,MBJ,SY,Passengers,0
2,IAH,SAL,NK,Passengers,2651
2,LAS,PEK,HU,Passengers,2641
2,SPN,HKG,UO,Passengers,2618
2,DFW,TRC,MQ,Passengers,2617
2,MIA,YQB,WG,Passengers,2612
2,MCO,CNF,AD,Passengers,2611
2,JFK,BEG,JU,Passengers,2599
2,BDL,YYZ,QK,Passengers,2593
2,MIA,BON,AA,Passengers,2584
2,ORD,BOG,AV,Passengers,2580
2,SFB,AMS,OR,Passengers,2579
2,DFW,CUN,NK,Passengers,2579
2,SJU,SBH,04Q,Passengers,2332
2,MIA,MTY,YX,Passengers,2567
2,CLT,GDL,AA,Passengers,2563
2,MSP,MZT,SY,Passengers,2556
2,EWR,SJD,UA,Passengers,2556
2,ORD,YYZ,EV,Passengers,2554
2,LAS,YWG,WS,Passengers,2552
2,SFO,NAN,FJ,Passengers,2545
2,EWR,YQB,C5,Passengers,2543
2,MCO,REC,AD,Passengers,2533
2,DEN,YWG,OO,Passengers,2531
2,DFW,GDL,Y4,Passengers,2527
2,TPA,YYZ,TS,Passengers,2513
2,LAX,PVR,4O,Passengers,2512
2,MIA,MID,YX,Passengers,2500
2,ORD,YWG,EV,Passengers,2498
2,LAX,AGU,Y4,Passengers,2495
2,FLL,AXM,NK,Passengers,2495
2,PHL,DUB,EI,Passengers,2488
2,ORD,YUL,EV,Passengers,2485
2,IAH,OAX,EV,Passengers,2462
2,DCA,YOW,QK,Passengers,2444
2,TPA,GCM,KX,Passengers,2433
2,MIA,PAP,AF,Passengers,2432
2,DTW,MBJ,NK,Passengers,2432
2,LAS,YXE,WS,Passengers,2426
2,MSP,CZM,SY,Passengers,2420
2,IAH,PBC,EV,Passengers,2406
2,ORD,YWG,OO,Passengers,2402
2,ORD,GUA,TA,Passengers,2395
2,BOS,PLS,B6,Passengers,2390
2,SJU,YYZ,AC,Passengers,2389
2,IAH,MLM,EV,Passengers,2385
2,IAH,VER,EV,Passengers,2370
2,MSP,YYZ,G7,Passengers,2350
2,EWR,PVR,UA,Passengers,2333
2,DEN,YYC,WS,Passengers,2332
2,MCO,CDG,DY,Passengers,2330
2,RDU,CUN,F9,Passengers,2328
2,ORD,BJX,OO,Passengers,2321
2,JFK,GDL,Y4,Passengers,2318
2,IAH,CUN,NK,Passengers,2307
2,BDL,DUB,EI,Passengers,2307
2,LAX,GUA,Q6,Passengers,2299
2,FLL,STI,NK,Passengers,2295
2,LAS,YQR,WS,Passengers,2294
2,ORD,PVR,F9,Passengers,2262
2,MCO,POS,BW,Passengers,2275
2,MIA,PUJ,LA,Passengers,2260
2,BOS,BGI,B6,Passengers,2259
2,FAT,MLM,Y4,Passengers,2246
2,FLL,REC,AD,Passengers,2241
2,MIA,MAR,1BQ,Passengers,0
2,LAX,BJX,5D,Passengers,2227
2,SJU,YYZ,WS,Passengers,2226
2,MIA,CCS,1BQ,Passengers,0
2,SMF,BJX,Y4,Passengers,2217
2,MCO,YEG,WS,Passengers,2208
2,HNL,TPE,CI,Passengers,2207
2,IAH,ACA,YV,Passengers,2205
2,JFK,ARN,DY,Passengers,2203
2,DFW,OAX,MQ,Passengers,2178
2,AUS,MEX,5D,Passengers,2175
2,OAK,BJX,Y4,Passengers,2170
2,TPA,YOW,AC,Passengers,2162
2,SAT,YYZ,KV,Passengers,2150
2,JFK,SAL,Q6,Passengers,2134
2,IAH,NAS,UA,Passengers,2131
2,DFW,PUJ,AA,Passengers,2130
2,IAH,GUA,NK,Passengers,2124
2,JAX,YYZ,ZX,Passengers,2120
2,MIA,BEL,JJ,Passengers,2110
2,IAH,CUU,EV,Passengers,2107
2,SJC,BJX,Y4,Passengers,2096
2,MSP,YUL,9E,Passengers,2089
2,DEN,BZE,WN,Passengers,2086
2,DTW,YOW,OO,Passengers,2072
2,DTW,YOW,9E,Passengers,2061
2,LAS,CUN,F9,Passengers,1915
2,IAH,TAM,EV,Passengers,2034
2,PSP,YEG,07Q,Passengers,2029
2,IAH,CZM,UA,Passengers,2027
2,SEA,SJD,DL,Passengers,2026
2,MIA,GEO,PY,Passengers,2023
2,DTW,YUL,RJ,Passengers,2016
2,CVG,CUN,F9,Passengers,2013
2,JFK,CTG,AV,Passengers,2011
2,ATL,ELH,9E,Passengers,2009
2,BOS,YOW,QK,Passengers,1992
2,MCO,GDL,Y4,Passengers,1982
2,EWR,GUA,UA,Passengers,1981
2,DTW,PUJ,DL,Passengers,1980
2,MSY,PTY,CM,Passengers,1977
2,ORD,GDL,Y4,Passengers,1951
2,JFK,DSS,DL,Passengers,1947
2,PHL,PLS,AA,Passengers,1945
2,MKE,YYZ,ZX,Passengers,1943
2,MIA,MDE,VH,Passengers,1942
2,DTW,MBJ,DL,Passengers,1934
2,SAT,GDL,4O,Passengers,1923
2,MCO,YQB,TS,Passengers,1921
2,MIA,AMS,OR,Passengers,1897
2,AZA,YYC,WS,Passengers,1890
2,DFW,GCM,AA,Passengers,1880
2,ORD,YUL,YX,Passengers,1871
2,DEN,PVR,F9,Passengers,1845
2,LAX,FCO,AZ,Passengers,1842
2,IAD,YUL,C5,Passengers,1829
2,LAX,OAX,Y4,Passengers,1816
2,MDW,SJD,WN,Passengers,1813
2,EWR,SKB,UA,Passengers,1811
2,PHL,NAS,YX,Passengers,1796
2,ORD,NAS,OO,Passengers,1792
2,SJU,YUL,AC,Passengers,1785
2,DFW,NAS,AA,Passengers,1781
2,MCO,PAP,B6,Passengers,1779
2,SJU,FRA,DE,Passengers,1769
2,PHX,YLW,WS,Passengers,1769
2,PHL,GCM,AA,Passengers,1769
2,PIT,CUN,G4,Passengers,0
2,MDW,DGO,Y4,Passengers,1737
2,CLT,LIR,AA,Passengers,1719
2,BOS,MBJ,B6,Passengers,1718
2,LAX,CUN,WN,Passengers,1706
2,LAX,SJD,4O,Passengers,1690
2,JFK,LRM,B6,Passengers,1686
2,ORD,GCM,UA,Passengers,1680
2,MIA,GDL,Y4,Passengers,1674
2,EWR,YUL,EV,Passengers,1671
2,PDX,YYC,QK,Passengers,1659
2,JFK,BUD,LO,Passengers,1655
2,RDU,PUJ,F9,Passengers,1654
2,FLL,BIM,3M,Passengers,1653
2,MEM,YYZ,ZX,Passengers,1649
2,DEN,YVR,OO,Passengers,1639
2,SFO,YVR,OO,Passengers,1628
